CLIENT_ID,FIRST_NAME,LAST_NAME,BIRTH_DATE,AGE,GENDER,MARITAL_STATUS,EMAIL,PHONE_NUMBER,ADDRESS,CITY,STATE,ZIP_CODE,COUNTRY,OCCUPATION,ANNUAL_INCOME,NET_WORTH_ESTIMATE,RISK_TOLERANCE,FINANCIAL_GOALS,LIFE_EVENT,JOIN_DATE,LAST_UPDATE_TIMESTAMP
CL_B55FF0AE8B,Jody,Wright,1974-05-06,50,Male,Divorced,frankclark@example.org,452-923-3376x5695,24491 Phelps Rapids,New Rachelchester,WA,16925,USA,Advice worker,326443,8745448,Aggressive Growth,"[""Education Funding"", ""Wealth Accumulation"", ""Income Generation""]",Job Change,2021-06-05 02:07:59.993,2021-11-24 17:06:03.093
CL_DBA2654AAC,Kevin,Randolph,1964-04-26,60,Prefer not to say,Widowed,enguyen@example.com,001-831-303-1559,780 Weber Isle,Shannonland,IA,31882,USA,Theme park manager,299487,728954,Balanced,"[""Income Generation"", ""Home Purchase"", ""Education Funding""]",Retirement,2022-05-22 12:16:28.426,2023-04-17 21:24:46.773
CL_8E1A0F1F2E,April,Sanchez,1976-10-10,48,Female,Divorced,zedwards@example.net,(472)692-9178x6193,8629 Donald Bypass,East Jameshaven,VT,27918,USA,Recycling officer,451734,1293288,Moderate,"[""Retirement Planning"", ""Education Funding"", ""Income Generation""]",Job Change,2020-12-05 13:55:21.406,2025-04-01 23:22:29.469
CL_57B814659D,Cheryl,Reed,1978-04-11,47,Male,Married,dryan@example.org,(937)370-7258x81953,7453 Zimmerman Forges Suite 672,North Heather,AS,76744,USA,"Administrator, local government",348692,8494482,Aggressive Growth,"[""Education Funding""]",,2024-04-05 15:14:14.302,2024-12-18 12:24:40.494
CL_B821F9CCF1,Jeffrey,Morris,1949-10-03,75,Male,Single,nathan66@example.org,(767)902-6225,08793 John Vista Suite 259,South Gordonborough,NY,23732,USA,"Geologist, wellsite",305582,3035799,Growth,"[""Home Purchase""]",Home Purchase,2021-02-12 01:16:29.451,2021-03-18 23:59:48.717
CL_15F8E80617,Victoria,Scott,1996-04-05,29,Prefer not to say,Widowed,zrichard@example.net,+1-331-980-0357x765,4980 Herrera Rue Suite 672,New Barbarafurt,VI,43440,USA,Accounting technician,235005,987603,Moderate,"[""Education Funding"", ""Estate Planning"", ""Income Generation""]",Birth of Child,2021-11-16 07:33:28.161,2024-04-02 12:46:20.503
CL_E1001E6CE1,Tonya,Williams,1954-02-26,71,Prefer not to say,Divorced,jacksoncharlene@example.net,710-833-7825x575,4342 Obrien Stream Suite 196,Michellebury,VI,87461,USA,Photographer,362275,5940468,Growth,"[""Wealth Accumulation"", ""Home Purchase"", ""Education Funding""]",Birth of Child,2020-04-29 22:52:51.514,2023-03-17 20:17:56.413
CL_88189D6D6D,Gregory,Harris,1962-01-01,63,Female,Widowed,derrick95@example.net,802-640-8588x2203,09486 Jacqueline Mission Apt. 140,Lake Dianaview,PW,44191,USA,Multimedia specialist,116058,8251829,Growth,"[""Tax Optimization"", ""Home Purchase""]",,2020-09-22 20:57:10.002,2025-01-15 20:21:50.203
CL_8741905E7B,Christopher,Maxwell,1955-07-09,69,Male,Single,parkerkeith@example.org,(375)265-3118x0758,7807 Rhonda Bridge,Thomasbury,SC,56875,USA,Armed forces training and education officer,249495,2760484,Balanced,"[""Estate Planning""]",Birth of Child,2024-02-19 08:49:01.740,2024-10-14 01:16:06.128
CL_8EAB4F5AA8,Adam,Barnes,1956-02-17,69,Female,Single,wayne72@example.net,001-348-492-8057x8735,8304 Kimberly Forges,Lake Rachaelchester,GU,16522,USA,Bonds trader,323379,6528618,Moderate,"[""Education Funding"", ""Wealth Accumulation"", ""Income Generation""]",Marriage,2022-01-15 21:51:28.949,2023-03-17 13:36:45.750
CL_C57EF9EFC0,Daniel,Villarreal,1981-03-28,44,Prefer not to say,Single,williamvasquez@example.org,772.564.2233x67632,6805 Jeffrey Springs Apt. 040,West Jennifer,AZ,42672,USA,Diagnostic radiographer,203831,2222231,Moderate,"[""Tax Optimization""]",Marriage,2021-01-14 08:06:20.051,2023-02-27 23:51:54.306
CL_547E08C6F9,Colin,Mcguire,1982-12-23,42,Prefer not to say,Divorced,daniel45@example.net,883.215.9277x3770,1463 Paul Point Suite 689,East Kathrynberg,AZ,55519,USA,Retail manager,129720,4925211,Balanced,"[""Estate Planning"", ""Income Generation"", ""Retirement Planning""]",,2022-04-17 16:10:21.855,2022-06-07 09:52:21.839
CL_5D990308EB,Sheila,Pratt,1976-03-02,49,Male,Widowed,perryallison@example.com,256-885-8027x35527,97394 Todd Pike,Nancyburgh,KS,10510,USA,Insurance broker,307970,1931185,Balanced,"[""Wealth Accumulation""]",,2020-10-25 09:30:27.974,2023-12-30 06:23:45.483
CL_D7DA5DA73F,Lisa,Hahn,1990-04-17,35,Female,Divorced,brendandavis@example.com,(396)809-5215,473 Tina Ways Apt. 182,South Judithtown,AZ,42985,USA,Special educational needs teacher,190722,3627600,Growth,"[""Tax Optimization"", ""Wealth Accumulation""]",Home Purchase,2021-05-18 13:30:46.859,2024-02-12 06:52:45.286
CL_2C72DED3C5,Ryan,Turner,1960-11-26,64,Female,Single,valerie55@example.net,267.337.6023,007 Lee Parkways,Martinbury,NH,72479,USA,Production engineer,74973,899708,Moderate,"[""Estate Planning""]",Job Change,2021-05-01 01:03:43.467,2024-08-20 02:27:48.967
CL_61C31F5BB9,Alex,Dalton,1964-10-12,60,Prefer not to say,Widowed,thurley@example.org,+1-585-909-2372x42564,81659 Mendoza Place,Lake Megan,KS,74965,USA,Further education lecturer,349351,8897508,Conservative,"[""Retirement Planning"", ""Wealth Accumulation"", ""Income Generation""]",Job Change,2022-12-23 12:16:56.200,2024-11-02 18:24:42.713
CL_90BFF24647,Darlene,Harris,1965-12-09,59,Prefer not to say,Married,alexander12@example.net,9733384679,74573 Marissa Keys Apt. 407,Port Markfurt,ME,40933,USA,Counsellor,254181,8538852,Conservative,"[""Home Purchase"", ""Income Generation""]",Birth of Child,2021-09-14 03:38:53.651,2024-11-29 11:51:16.250
CL_581BD047A3,Caitlin,Park,1996-08-23,28,Male,Widowed,elizabeth91@example.com,(230)544-4187,93317 Kennedy Landing,North Molly,RI,39671,USA,Community arts worker,228352,9269206,Balanced,"[""Income Generation""]",,2023-01-15 06:53:44.167,2023-11-23 18:21:56.185
CL_F0277E9FFF,Scott,Jones,1988-10-28,36,Prefer not to say,Single,jestrada@example.net,677.503.9994,39730 Brittany Forges Suite 905,Medinabury,IL,71092,USA,Market researcher,50311,9732072,Moderate,"[""Retirement Planning"", ""Wealth Accumulation"", ""Estate Planning""]",Birth of Child,2023-02-10 09:36:50.753,2023-11-21 23:15:57.031
CL_85A7B8A70D,Jesus,Bright,1986-08-28,38,Prefer not to say,Married,danielsjoseph@example.org,3449916885,67137 Robert Wall,Carlsonborough,OH,76691,USA,"Surveyor, quantity",53862,7591279,Conservative,"[""Estate Planning"", ""Income Generation"", ""Education Funding""]",,2021-03-07 11:06:52.588,2022-04-17 17:11:31.752
CL_0E48178A85,Mark,Davis,1967-06-08,57,Prefer not to say,Widowed,brian79@example.net,700-904-7180,83046 Spencer Circle Apt. 058,Christianview,TX,38074,USA,"Geneticist, molecular",436654,7101859,Aggressive Growth,"[""Tax Optimization""]",Retirement,2025-01-13 17:59:53.375,2025-03-03 02:03:07.035
CL_E6BC5E4593,David,Edwards,1960-10-08,64,Prefer not to say,Divorced,iryan@example.net,001-238-326-1229x6165,354 Robert Junctions Suite 502,East Antonio,NH,50192,USA,Secretary/administrator,377344,6900005,Balanced,"[""Education Funding"", ""Income Generation"", ""Wealth Accumulation""]",Birth of Child,2024-12-17 11:10:59.809,2025-03-27 08:02:54.122
CL_697BC1AD28,Laurie,Palmer,1954-12-27,70,Male,Married,donnashelton@example.com,922-462-6196x935,99698 Roy Way,East Michaelshire,MO,94824,USA,Broadcast presenter,175005,2723758,Moderate,"[""Retirement Planning""]",,2023-12-20 09:36:23.175,2025-02-28 05:09:16.371
CL_F810B3B3EC,Christopher,May,1956-08-28,68,Other,Divorced,kmahoney@example.org,+1-284-734-6307x02557,657 James Motorway,Manningmouth,IN,38286,USA,"Scientist, marine",249798,5724807,Moderate,"[""Estate Planning""]",Birth of Child,2024-02-26 09:17:15.395,2024-05-28 04:03:28.546
CL_D7E3D9E7BF,Clarence,Williams,1991-09-08,33,Male,Married,ramirezkendra@example.net,+1-228-696-4526,03577 Tina Mall Suite 428,Lisaburgh,NV,48905,USA,Advice worker,195258,3698585,Growth,"[""Tax Optimization"", ""Wealth Accumulation""]",Job Change,2021-01-02 02:24:47.327,2023-08-14 07:23:34.297
CL_67CDEA7ECA,Charles,Johnson,1980-10-19,44,Other,Married,darrell49@example.com,7603978211,9748 Timothy Summit Suite 912,Lake Lisa,MS,26607,USA,Statistician,164940,6452598,Conservative,"[""Retirement Planning"", ""Home Purchase"", ""Estate Planning""]",,2022-03-05 03:22:41.628,2023-09-18 17:16:50.232
CL_7E3BE6BCF4,Kimberly,Flores,1952-08-26,72,Other,Single,nlove@example.net,291-268-6371x49433,0178 Davidson Street Suite 107,Kennethmouth,KY,24455,USA,Telecommunications researcher,254568,9960167,Balanced,"[""Estate Planning"", ""Tax Optimization""]",Home Purchase,2021-04-23 06:11:02.925,2021-10-21 02:27:59.621
CL_71F5D6CB2D,Dwayne,Cortez,1985-01-23,40,Prefer not to say,Widowed,katherinewalker@example.net,599.316.6950x94839,65400 Bryan Burg,Josephton,DE,89724,USA,Contracting civil engineer,295623,3613505,Balanced,"[""Education Funding"", ""Income Generation""]",Birth of Child,2022-11-28 17:12:38.767,2024-03-25 15:45:18.714
CL_69D124534F,Cory,Floyd,1951-11-20,73,Male,Divorced,tfowler@example.net,001-430-262-0476x30225,248 Michelle Island,Lake Jacob,MI,86262,USA,Management consultant,43112,1535354,Moderate,"[""Education Funding"", ""Tax Optimization"", ""Retirement Planning""]",Marriage,2021-06-14 00:58:45.162,2022-08-10 13:10:49.785
CL_DDE75B10C6,Jenna,Boone,1955-03-31,70,Female,Married,ortizjessica@example.net,592.378.8632x158,936 Michael Lodge Suite 039,Granthaven,VT,24049,USA,"Surveyor, minerals",323813,5669451,Balanced,"[""Income Generation"", ""Wealth Accumulation""]",,2021-12-29 04:27:37.277,2022-06-16 09:14:13.057
CL_6CD7893DAE,Michael,Rojas,1996-06-21,28,Prefer not to say,Married,gallagherthomas@example.org,986-741-4460,5767 Garcia Ferry,South Shelbytown,VA,07616,USA,Television floor manager,425604,7311750,Balanced,"[""Estate Planning""]",Job Change,2025-03-01 16:11:15.952,2025-03-04 05:39:18.930
CL_9CCA5D1F43,Wendy,Smith,1957-05-08,67,Male,Single,rothbetty@example.org,001-732-315-4596,081 Derek Plaza Apt. 201,Patriciafurt,NV,21344,USA,Exercise physiologist,406644,8649078,Aggressive Growth,"[""Retirement Planning""]",,2023-02-01 06:12:27.781,2024-06-17 20:57:27.694
CL_16C3901092,Luke,Lopez,1993-08-18,31,Female,Single,stephaniegoodwin@example.org,(201)636-6747x6967,34969 Derek Circles Apt. 736,East Michaelhaven,OK,29923,USA,Ambulance person,170234,5864548,Moderate,"[""Estate Planning"", ""Education Funding"", ""Income Generation""]",Job Change,2024-08-24 08:54:01.007,2025-03-25 03:51:34.259
CL_99379F4323,Chris,Johnson,1964-07-04,60,Other,Single,zachary83@example.com,274.676.1130x42720,40252 Sharon Lakes Apt. 934,Amyshire,OK,87443,USA,"Scientist, research (medical)",407146,6086679,Balanced,"[""Estate Planning""]",Marriage,2020-05-30 13:07:02.017,2023-08-12 20:44:53.059
CL_C0F13C532E,Arthur,Baker,1999-12-03,25,Female,Single,hbennett@example.org,723.996.8457,5320 Gina Knolls,South Manuel,ID,88440,USA,Immigration officer,206852,7765534,Moderate,"[""Retirement Planning"", ""Education Funding""]",Birth of Child,2021-03-24 22:42:04.935,2022-02-13 03:49:15.103
CL_F101F1EA60,Tammy,Galvan,1993-11-12,31,Prefer not to say,Single,lrobertson@example.org,9089792235,02557 Williams Way,Lake Denisefurt,MP,92976,USA,Clinical molecular geneticist,352778,8255410,Aggressive Growth,"[""Income Generation"", ""Estate Planning""]",,2022-02-25 19:30:36.872,2024-01-16 18:45:10.437
CL_5C88246149,Carly,Berry,1965-04-16,60,Female,Single,claire66@example.net,858.768.2434x2644,2143 Sharon Points,Butlerland,VA,90669,USA,Haematologist,177086,727625,Conservative,"[""Education Funding"", ""Tax Optimization""]",Job Change,2023-04-21 11:51:17.515,2024-04-29 02:25:32.108
CL_B27DA8AEEB,Jerry,Brooks,1976-10-24,48,Female,Married,ericruiz@example.org,001-255-929-4742x146,63856 Palmer Inlet,Higginsside,CO,57146,USA,Neurosurgeon,108530,9910290,Moderate,"[""Retirement Planning""]",,2020-06-13 04:57:37.901,2023-02-17 22:57:25.023
CL_44F635A496,Megan,Salazar,1952-03-09,73,Female,Married,davidcastillo@example.net,001-298-733-0894x0016,18196 Roman Ridges Apt. 525,Sharonland,WY,24905,USA,Television/film/video producer,193750,6153725,Moderate,"[""Education Funding""]",Marriage,2020-12-05 20:11:23.598,2024-07-03 21:32:30.991
CL_6B3EB3DFC1,Haley,Jennings,1999-05-04,25,Male,Divorced,megan54@example.net,001-504-756-2576,325 Caldwell Forks,Gregoryville,PA,85875,USA,Senior tax professional/tax inspector,313597,3847234,Balanced,"[""Tax Optimization""]",Birth of Child,2022-02-14 20:47:49.750,2022-09-21 11:23:22.792
CL_07900A789A,Patricia,Anderson,1971-07-18,53,Male,Single,stephaniewells@example.net,8843433410,7594 Ashley Ford Apt. 882,Lauratown,RI,17065,USA,"Editor, film/video",496444,4672665,Moderate,"[""Education Funding"", ""Tax Optimization"", ""Retirement Planning""]",Birth of Child,2023-02-22 22:47:56.540,2024-06-06 15:10:02.086
CL_124CDF0D66,Linda,Walter,1950-03-30,75,Female,Married,frodriguez@example.org,881.272.3981x9451,016 Nicole Road Apt. 723,East Michaelbury,WV,52181,USA,"Social research officer, government",448726,7561345,Balanced,"[""Income Generation"", ""Estate Planning""]",Retirement,2025-01-11 15:42:32.673,2025-04-01 01:36:35.664
CL_6CDAD50EDB,Patrick,Lyons,1985-11-05,39,Male,Single,christophermorris@example.com,(213)634-6928,140 Ford Prairie,Sethmouth,GA,59535,USA,"Designer, exhibition/display",365674,2207772,Growth,"[""Estate Planning"", ""Wealth Accumulation"", ""Tax Optimization""]",Birth of Child,2023-08-02 09:56:25.256,2023-10-13 13:14:22.074
CL_70511ED11F,Alexander,Ellison,1975-01-19,50,Prefer not to say,Widowed,joshua84@example.net,319.898.4355,51499 Eric Roads Suite 318,Johnsonmouth,LA,32720,USA,Town planner,238285,9264827,Moderate,"[""Wealth Accumulation"", ""Income Generation"", ""Estate Planning""]",,2024-12-13 21:19:23.623,2025-02-07 15:32:25.994
CL_AA3732F711,Joseph,Walker,1986-03-16,39,Prefer not to say,Divorced,markmckenzie@example.org,001-505-285-1265x9364,6138 Victor Keys,Townsendtown,WI,94734,USA,"Engineer, water",474140,9249650,Conservative,"[""Wealth Accumulation"", ""Home Purchase""]",,2020-11-17 18:30:18.979,2022-07-16 01:58:13.019
CL_18EDEB0798,Derek,Wood,1981-02-27,44,Prefer not to say,Divorced,kfrancis@example.org,420.705.5610x194,73016 Haynes Rapids,Lake Cassandraburgh,AR,44059,USA,Race relations officer,400845,2974689,Conservative,"[""Income Generation"", ""Estate Planning""]",,2024-01-09 05:32:46.486,2024-08-05 09:33:26.173
CL_14753AC5A4,Vincent,Smith,1989-10-02,35,Female,Widowed,xmedina@example.net,951-914-3019x86313,1350 Freeman Lake,Thomasland,MI,05468,USA,"Production designer, theatre/television/film",125926,975777,Growth,"[""Wealth Accumulation"", ""Home Purchase""]",,2024-09-26 10:17:26.990,2025-02-02 07:36:09.269
CL_11BDBC63F7,Andrew,Torres,1964-04-11,61,Prefer not to say,Divorced,jmitchell@example.com,(417)918-5687,2280 John Causeway,Jessicabury,MA,78746,USA,English as a second language teacher,246578,1921645,Aggressive Growth,"[""Tax Optimization"", ""Income Generation"", ""Retirement Planning""]",Birth of Child,2025-01-03 03:02:02.800,2025-04-07 12:48:08.467
CL_052BD0ADB6,Joseph,Mckinney,1950-03-02,75,Female,Widowed,egarner@example.net,3439974641,86404 Pamela Estate,Harrisonview,KS,98549,USA,Ecologist,117939,1249985,Moderate,"[""Tax Optimization"", ""Retirement Planning"", ""Income Generation""]",Job Change,2020-05-13 21:48:38.515,2020-12-02 11:17:09.195
CL_9FDD35BA45,Connie,Jones,1981-07-10,43,Female,Widowed,michaelgreer@example.net,754.232.4418x285,676 Lisa Via,Port Ian,ME,79781,USA,International aid/development worker,274821,1126177,Balanced,"[""Tax Optimization""]",,2022-09-02 18:44:40.896,2024-12-27 22:06:34.705
CL_C0C092856E,Jake,Nelson,1970-08-20,54,Other,Divorced,ymartin@example.net,212-682-9840,77213 Peter Highway Suite 006,Hansenfort,WV,35125,USA,Herpetologist,415303,9390401,Growth,"[""Retirement Planning""]",,2023-10-17 17:36:17.258,2023-11-14 10:43:34.376
CL_EDF8B1C1D0,Douglas,Lopez,1977-01-12,48,Prefer not to say,Widowed,steven03@example.com,965.464.2023,1164 White Summit Apt. 545,Lake Christopher,OK,17625,USA,Museum/gallery exhibitions officer,312330,1256747,Growth,"[""Estate Planning"", ""Tax Optimization""]",,2022-04-30 12:25:08.041,2024-04-12 18:50:22.918
CL_7499580A0F,Thomas,Juarez,1996-12-24,28,Male,Widowed,erika88@example.com,616-593-8423,1447 Parker Rest,Chelseamouth,ME,30289,USA,Environmental consultant,347146,8820343,Moderate,"[""Education Funding"", ""Estate Planning""]",Home Purchase,2022-07-24 16:27:46.181,2022-11-09 17:59:56.201
CL_60172864A2,Michelle,Brown,1957-07-18,67,Other,Married,kennethhawkins@example.org,369-932-3633,06570 Lisa Knoll Suite 648,Stephenville,MO,22309,USA,Estate agent,135624,8237988,Balanced,"[""Home Purchase"", ""Wealth Accumulation"", ""Education Funding""]",,2020-10-22 22:02:15.044,2022-09-22 13:29:35.996
CL_F3AEE4408C,Sheryl,Lewis,1969-11-17,55,Female,Married,walkersarah@example.com,001-269-768-2935,256 James Square Apt. 328,East Mia,GA,02987,USA,"Designer, ceramics/pottery",440239,8734742,Aggressive Growth,"[""Retirement Planning""]",Home Purchase,2024-05-01 09:35:29.623,2024-10-24 17:24:07.804
CL_50C24167C4,Melissa,Humphrey,1981-04-05,44,Other,Single,baileykelli@example.org,(795)407-8223,42861 Nichols Gateway Apt. 326,Manningborough,AK,24870,USA,Comptroller,102067,3680066,Conservative,"[""Education Funding""]",Birth of Child,2020-07-30 13:01:08.466,2022-06-01 20:12:50.602
CL_F4A494C039,David,Neal,1994-08-16,30,Other,Single,annesanchez@example.org,381.297.3343x81621,8813 Baker Springs Suite 362,South Jennifer,CA,18502,USA,"Therapist, speech and language",76136,3111421,Aggressive Growth,"[""Estate Planning"", ""Tax Optimization""]",Inheritance,2020-12-12 11:05:25.094,2022-05-14 16:46:51.918
CL_F0A4C631AF,Barbara,Turner,1951-06-22,73,Male,Single,zhamilton@example.com,+1-289-859-2915,2772 Anderson Springs Suite 805,Hickshaven,OK,71237,USA,"Lecturer, higher education",462712,5986663,Aggressive Growth,"[""Home Purchase""]",Birth of Child,2021-05-23 21:15:55.482,2022-08-09 00:00:15.590
CL_DE2E73EBAA,Gary,Norris,1999-09-08,25,Male,Married,michaelrivera@example.net,2505661299,40106 Thomas Trace,West Alexisville,AS,81815,USA,Pathologist,136762,274712,Moderate,"[""Tax Optimization"", ""Estate Planning"", ""Education Funding""]",,2021-08-20 21:28:57.064,2021-09-18 01:50:38.868
CL_DA930B6115,Michael,Pugh,1965-09-22,59,Female,Single,lindsaypowell@example.com,(959)519-5457x699,64175 Manning Rue,Anthonymouth,MA,08402,USA,"Pilot, airline",58553,3675566,Moderate,"[""Estate Planning"", ""Home Purchase""]",,2025-01-30 02:15:15.108,2025-03-19 01:18:21.575
CL_3239D222D7,James,Cook,1998-04-12,27,Male,Married,lopezlisa@example.org,(521)912-4631x977,596 Kurt Villages Apt. 225,Nancyside,AR,64923,USA,"Therapist, occupational",455541,2078051,Balanced,"[""Home Purchase"", ""Retirement Planning"", ""Tax Optimization""]",,2022-03-20 03:52:12.725,2025-04-04 22:38:33.856
CL_066C4630B7,Paul,Harris,1982-12-01,42,Male,Married,rsanders@example.com,474.554.2796x60843,5071 Gregory Mountains,Kingchester,OK,04236,USA,Broadcast engineer,483535,3131019,Moderate,"[""Wealth Accumulation"", ""Tax Optimization""]",Birth of Child,2024-11-16 22:50:12.942,2025-02-05 06:30:26.454
CL_F52AFE18CC,Adam,Buck,1957-06-30,67,Prefer not to say,Married,fhall@example.net,(768)579-6050,703 Donald Drives Suite 079,East Elizabeth,OK,62573,USA,Plant breeder/geneticist,371520,6557963,Conservative,"[""Estate Planning""]",,2020-05-04 08:54:00.185,2024-11-06 22:40:01.794
CL_3113733B25,Jennifer,Scott,1950-12-28,74,Other,Married,ydavis@example.com,001-285-305-3530x437,7082 Hatfield Flat,West Felicia,MD,55548,USA,Occupational therapist,267853,6879817,Balanced,"[""Wealth Accumulation""]",,2021-09-15 11:43:45.539,2022-01-22 06:14:32.047
CL_77927D0D92,Aaron,Morrison,1954-10-26,70,Female,Widowed,vmartinez@example.com,001-413-496-5997x5288,633 Schroeder Drives,Garciashire,MT,49865,USA,"Sales professional, IT",271490,4824118,Moderate,"[""Wealth Accumulation"", ""Income Generation"", ""Home Purchase""]",,2024-04-30 17:56:22.797,2024-07-25 13:39:57.466
CL_8BB15F29A3,Justin,Jensen,1985-12-15,39,Male,Widowed,uowen@example.com,840-334-8628,856 Patterson Canyon Apt. 194,South Bryanland,GU,59533,USA,"Teacher, early years/pre",429067,7112957,Balanced,"[""Wealth Accumulation""]",Job Change,2023-07-01 05:47:14.822,2023-09-03 10:24:11.610
CL_1B3AD8BC78,Sherry,Henderson,1977-04-25,47,Female,Married,frank89@example.org,+1-567-524-9445x0117,33718 Clark Flat Suite 534,Cohenview,AK,72839,USA,Trade mark attorney,251258,6254884,Balanced,"[""Education Funding""]",Retirement,2022-08-21 18:15:28.701,2023-05-04 06:38:49.119
CL_3F5381C7D5,Regina,Murray,1967-03-04,58,Prefer not to say,Single,ksmith@example.net,399.835.0404x08807,49007 Martinez Bridge,Denisebury,TN,70674,USA,Air cabin crew,370052,5555733,Balanced,"[""Education Funding""]",Birth of Child,2025-01-16 02:16:47.762,2025-03-08 21:27:15.855
CL_A935ED223A,Matthew,Scott,1992-03-05,33,Other,Widowed,justintaylor@example.com,877-886-4995,13469 Watts Stravenue Apt. 384,Joycehaven,ME,50881,USA,Geochemist,256853,9123825,Moderate,"[""Income Generation""]",Job Change,2024-01-25 17:10:27.672,2025-01-17 18:15:34.607
CL_B5123E37EF,Sarah,Parker,1984-06-30,40,Prefer not to say,Divorced,jason32@example.com,(626)535-1090,659 Janice Stream Apt. 967,North Stevenville,FL,69069,USA,English as a foreign language teacher,485073,1554984,Moderate,"[""Tax Optimization"", ""Income Generation"", ""Retirement Planning""]",,2024-05-31 03:22:11.741,2024-11-11 11:35:20.653
CL_E52284EDA8,Jennifer,Livingston,1984-01-17,41,Male,Widowed,cody45@example.net,001-725-327-2625x8962,51748 Betty Mews Suite 889,Ortizville,DC,57639,USA,Product manager,188307,561765,Growth,"[""Tax Optimization""]",Birth of Child,2023-03-24 07:17:13.603,2024-07-05 16:24:31.152
CL_C3E1054C36,Karen,Boone,1973-09-17,51,Prefer not to say,Single,lucasdavid@example.com,679-416-1280x9008,543 Melissa Branch Apt. 066,New William,CT,79598,USA,"Pilot, airline",482312,7888800,Moderate,"[""Wealth Accumulation"", ""Retirement Planning"", ""Tax Optimization""]",Job Change,2023-10-08 12:04:25.424,2024-03-20 10:10:22.434
